,URL,Datetime,Tweet Id,Content,Username
0,https://twitter.com/Rj472/status/1514274854572339213,2022-04-13 16:10:33+00:00,1514274854572339213,b'@TarrantSouth Maybe someone should spread a rumor in the Q community that General Flynn has been caught in Ukraine. They already support Russia in the war.',Rj472
0,https://twitter.com/mattdagley/status/1483883569059713029,2022-01-19 19:26:26+00:00,1483883569059713029,b'Q: Contact tracing. Website says contact close contacts. Why is this method not used in schools?',mattdagley
1,https://twitter.com/FiraScholesy/status/1480462920836435968,2022-01-10 08:54:00+00:00,1480462920836435968,b'@Marmar_Q Contact tracing: https://t.co/b2HEnWhNWb',FiraScholesy
0,https://twitter.com/rosatools/status/1488265250122223618,2022-01-31 21:37:40+00:00,1488265250122223618,b'@travis_view @greg_doucette @AlKapDC Ugh!  Do we really want to know?  *sigh* I guess I should enlighten myself with their foolishness\xe2\x80\xa6 and get my friends to go vote against them.  (Is Q contagious?\xf0\x9f\xa4\xae)',rosatools
1,https://twitter.com/tagalogwinrina/status/1481482313020370946,2022-01-13 04:24:42+00:00,1481482313020370946,"b'sakit daw yung pagiging bading, sabi ng tatay q, contagious daw. ampota skjdkd sabi ko nga, magtatago muna ako \xf0\x9f\x99\x82'",tagalogwinrina
0,https://twitter.com/adios_corona/status/1515807092963438592,2022-04-17 21:39:07+00:00,1515807092963438592,b'*Q)COVID-19\xe3\x81\xae\xe6\x82\xa3\xe8\x80\x85\xe3\x81\x8b\xe3\x82\x89\xe3\x82\xa6\xe3\x82\xa3\xe3\x83\xab\xe3\x82\xb9\xe3\x81\xaf\xe5\x88\x86\xe9\x9b\xa2\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xe3\x81\x8b\xef\xbc\x9f\n*A)\xe6\x9d\xb1\xe4\xba\xac\xe9\x83\xbd\xe5\x81\xa5\xe5\xba\xb7\xe5\xae\x89\xe5\x85\xa8\xe7\xa0\x94\xe7\xa9\xb6\xe3\x82\xbb\xe3\x83\xb3\xe3\x82\xbf\xe3\x83\xbc\xe3\x81\xaf\xe6\x82\xa3\xe8\x80\x85\xe3\x81\x8b\xe3\x82\x89\xe6\x96\xb0\xe5\x9e\x8b\xe3\x82\xb3\xe3\x83\xad\xe3\x83\x8a\xe3\x82\xa6\xe3\x82\xa3\xe3\x83\xab\xe3\x82\xb9\xe3\x82\x92\xe5\x88\x86\xe9\x9b\xa2\xe3\x81\x97\xe9\x9b\xbb\xe5\xad\x90\xe9\xa1\x95\xe5\xbe\xae\xe9\x8f\xa1\xe3\x81\xa7\xe6\x92\xae\xe5\xbd\xb1\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82\xe3\x81\xbe\xe3\x81\x9f\xe5\xa1\xa9\xe5\x9f\xba\xe9\x85\x8d\xe5\x88\x97\xe3\x82\x92\xe8\xa7\xa3\xe8\xaa\xad\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82\nhttps://t.co/k05RECj8vh\nhttps://t.co/JAeIaXiFjX',adios_corona
1,https://twitter.com/marinaclara/status/1515801216864985090,2022-04-17 21:15:46+00:00,1515801216864985090,"b'@eudigorodrigo Ai, amigo.. sem qrer te desanimar.. a chikungunya \xc3\xa9 pior do q covid. Repouse, \xc3\xa9 melhor pra vc!'",marinaclara
2,https://twitter.com/adios_corona/status/1515753805241290752,2022-04-17 18:07:23+00:00,1515753805241290752,b'Q)COVID-19\xe3\x82\x92\xe5\xad\x90\xe4\xbe\x9b\xe3\x81\xab\xe3\x81\xa9\xe3\x81\x86\xe8\xaa\xac\xe6\x98\x8e\xe3\x81\x99\xe3\x82\x8c\xe3\x81\xb0\xe3\x82\x88\xe3\x81\x84\xe3\x81\xa7\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f\nA)\xe5\xad\x90\xe4\xbe\x9b\xe3\x81\xaf\xe5\xa4\xa7\xe4\xba\xba\xe3\x81\xae\xe6\x84\x9f\xe6\x83\x85\xe3\x82\x92\xe5\xbc\xb7\xe3\x81\x8f\xe6\x84\x9f\xe3\x81\x98\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe4\xb8\x8d\xe5\xae\x89\xe3\x82\x92\xe9\x9a\xa0\xe3\x81\x97\xe3\x81\x9f\xe3\x82\x8a\xe5\x98\x98\xe3\x82\x92\xe3\x81\xa4\xe3\x81\x8f\xe3\x81\xa8\xe6\x82\xaa\xe5\xbd\xb1\xe9\x9f\xbf\xe3\x82\x92\xe4\xb8\x8e\xe3\x81\x88\xe3\x82\x8b\xe5\x8f\xaf\xe8\x83\xbd\xe6\x80\xa7\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe6\x84\x9f\xe6\x83\x85\xe3\x82\x92\xe8\xa8\x80\xe8\x91\x89\xe3\x81\xa7\xe8\xa1\xa8\xe7\x8f\xbe\xe3\x81\x97\xe3\x80\x81\xe3\x82\xa6\xe3\x82\xa4\xe3\x83\xab\xe3\x82\xb9\xe3\x81\xa8\xe3\x81\xaf\xe4\xbd\x95\xe3\x81\x8b\xe3\x80\x81\xe3\x82\xa6\xe3\x82\xa4\xe3\x83\xab\xe3\x82\xb9\xe3\x81\x8b\xe3\x82\x89\xe8\xba\xab\xe3\x82\x92\xe5\xae\x88\xe3\x82\x8b\xe6\x96\xb9\xe6\xb3\x95\xe3\x82\x92\xe8\xaa\xac\xe6\x98\x8e\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x81\x8c\xe9\x87\x8d\xe8\xa6\x81\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\xe5\xad\x90\xe4\xbe\x9b\xe3\x81\xae\xe6\x89\xb9\xe5\x88\xa4\xe7\x9a\x84\xe6\x80\x9d\xe8\x80\x83\xe3\x82\x92\xe8\xa8\x93\xe7\xb7\xb4\xe3\x81\x99\xe3\x82\x8b\xe6\xa9\x9f\xe4\xbc\x9a\xe3\x81\xa7\xe3\x82\x82\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82',adios_corona
3,https://twitter.com/euodeiootg/status/1515734337173528587,2022-04-17 16:50:01+00:00,1515734337173528587,b'@yestmusic mulher casada mata mais q covid',euodeiootg
4,https://twitter.com/Talissaa28/status/1515732462751653889,2022-04-17 16:42:34+00:00,1515732462751653889,"b'@Erika_chagas_5 Q covid oq, isso \xc3\xa9 resultado da festa do xv e as festa de ontem ksksksk'",Talissaa28
